1,Emil,Z*****C,65,0,0,0,0
2,Daniela,J*****A,75,0,0,0,0
3,Robert,B*****N,40,0,0,0,0
4,Paweł,K*****K,30,0,0,0,0
5,Daniela,G*****A,35,0,0,0,0
6,Michalina,A*****K,25,0,0,0,0
7,Kazimierz,W*****K,55,0,0,0,0
8,Zbigniew,A*****K,50,0,0,0,0
9,Bogusław,K*****K,50,0,0,0,0
10,Mikołaj,G*****I,60,0,0,0,0
11,Daniel,K*****I,65,0,0,0,0
12,Wioletta,J*****A,45,0,0,0,0
13,Ludwik,G*****I,35,0,0,0,0
14,Agata,M*****A,75,0,0,0,0
15,Mirosława,K*****L,55,0,1,0,0
16,Tomasz,W*****I,40,0,0,0,0
17,Stanisława,W*****L,50,0,0,0,0
18,Celina,S*****A,45,0,0,0,0
19,Daniel,M*****I,70,0,0,0,0
20,Leon,K*****K,25,0,0,0,0
21,Aleksandra,W*****A,50,0,0,0,0
22,Marek,W*****K,50,0,0,0,0
23,Walentyna,P*****A,25,0,0,0,0
24,Karol,M*****Z,35,0,0,0,0
25,Andrzej,P*****K,40,0,0,0,0
26,Gerard,J*****I,35,0,0,0,0
27,Lech,M*****I,65,0,0,0,0
28,Walentyna,P*****K,60,0,0,0,0
29,Stefania,S*****A,55,0,0,0,0
30,Alina,P*****A,55,0,0,0,0
31,Cezary,D*****K,55,0,0,0,0
32,Mirosława,O*****A,60,0,0,0,0
33,Romuald,W*****L,40,0,0,0,0
34,Olga,B*****A,60,0,0,0,0
35,Przemysław,W*****L,20,0,0,0,0
36,Grzegorz,S*****I,75,0,0,1,0
37,Franciszka,P*****A,30,0,0,0,0
38,Bernard,K*****I,65,0,0,0,0
39,Rafał,G*****I,55,0,0,0,0
40,Ignacy,J*****I,70,0,0,0,0
41,Danuta,A*****A,45,0,0,0,0
42,Aniela,S*****K,20,0,0,0,0
43,Tomasz,S*****C,55,0,0,0,0
44,Jacek,S*****C,45,0,0,0,0
45,Arkadiusz,K*****Y,60,0,0,0,0
46,Róża,M*****A,45,0,0,0,0
47,Maria,D*****A,20,0,0,0,0
48,Wiktor,N*****I,45,0,0,0,0
49,Sebastian,D*****K,30,0,0,0,0
50,Stefania,O*****A,65,0,0,0,0
51,Honorata,J*****A,45,0,0,0,0
52,Ludwik,B*****I,30,0,0,0,0
53,Emilia,S*****Ń,45,0,0,0,0
54,Renata,S*****K,40,0,0,0,0
55,Edward,K*****J,60,0,0,0,0
56,Dorota,P*****A,25,1,0,0,0
57,Feliks,W*****I,35,0,0,0,0
58,Leszek,W*****L,30,0,0,0,0
59,Ignacy,P*****K,30,0,0,0,0
60,Marek,L*****I,40,0,0,0,0
61,Czesław,S*****K,55,0,0,0,0
62,Stefania,B*****A,40,0,0,0,0
63,Jakub,P*****K,75,0,0,0,1
64,Damian,N*****I,70,0,0,0,0
65,Leon,K*****K,60,0,0,0,0
66,Julia,Z*****A,40,0,0,0,0
67,Stefan,K*****K,25,0,0,0,0
68,Zdzisława,K*****A,20,0,0,0,0
69,Emil,C*****I,20,0,0,0,0
70,Bogumił,N*****I,70,0,0,0,0
71,Krzysztof,Z*****I,20,0,0,0,0
72,Zuzanna,P*****A,20,0,0,0,0
73,Katarzyna,K*****A,40,0,0,0,1
74,Alfred,K*****A,20,0,0,0,0
75,Mirosława,J*****A,20,0,0,0,0
76,Wiktor,S*****C,70,0,0,0,0
77,Wojciech,W*****L,30,0,0,0,0
78,Feliks,C*****K,50,0,0,0,0
79,Felicja,W*****K,55,0,0,0,0
80,Agata,S*****K,45,0,0,0,0
81,Małgorzata,W*****K,40,0,0,0,0
82,Janusz,U*****I,35,0,0,0,0
83,Marianna,M*****K,30,0,0,0,0
84,Aleksander,S*****I,65,0,0,0,0
85,Czesław,G*****I,65,0,0,0,0
86,Monika,K*****K,25,0,0,0,0
87,Alina,W*****A,70,0,0,0,0
88,Janina,K*****K,50,0,0,0,0
89,Justyna,W*****K,40,0,0,0,0
90,Alina,Z*****A,75,0,0,0,0
91,Wiesław,S*****A,65,0,0,0,0
92,Agata,L*****A,55,0,0,0,0
93,Hieronim,W*****K,70,0,0,0,0
94,Stanisław,K*****K,35,0,0,0,0
95,Ireneusz,W*****L,35,0,0,0,0
96,Adam,K*****K,60,0,0,0,0
97,Krystian,L*****I,55,0,0,0,0
98,Wacław,Z*****I,30,0,0,0,0
99,Norbert,Z*****I,20,1,0,0,0
100,Zofia,S*****Ń,45,0,0,0,0
101,Bożena,A*****A,55,0,0,0,0
102,Natalia,C*****A,40,0,0,0,0
103,Wiktor,M*****I,45,0,0,0,0
104,Renata,W*****K,50,0,0,0,0
105,Janina,R*****A,30,0,0,0,0
107,Karolina,W*****A,30,0,0,0,1
108,Lidia,K*****K,55,0,0,0,0
109,Alicja,W*****A,45,0,0,0,0
110,Olga,K*****K,35,0,0,0,0
111,Kazimierz,S*****I,35,0,0,0,0
112,Regina,K*****K,50,0,0,0,0
113,Hubert,J*****I,75,0,0,0,0
115,Wiesława,K*****A,30,0,0,0,0
116,Leon,N*****I,60,0,0,0,0
117,Marcin,J*****I,30,0,0,0,0
118,Mikołaj,Z*****I,60,0,0,0,0
119,Piotr,W*****I,40,0,0,0,0
120,Rafał,M*****I,20,0,0,0,0
121,Marzena,M*****A,70,0,0,0,0
122,Zofia,M*****K,30,0,0,0,0
123,Antoni,S*****C,60,0,0,0,0
124,Julian,S*****K,55,0,0,0,0
125,Wiktor,J*****I,35,0,0,0,0
126,Eleonora,K*****K,35,0,1,0,0
127,Alfred,M*****K,30,0,0,0,0
128,Emilia,N*****A,50,0,0,0,0
